D0 Brightness -SAP,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15
73,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,45.1,45.1,45.1,45.1,45.1,45.1,45.1
75,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,45.1,45.1,45.1,45.1,45.1,45.1
76.1,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,45.1,45.1,45.1,45.1,45.1
76.6,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,45.1,45.1,45.1,45.1
77,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,45.1,45.1,45.1
77.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,45.1,45.1
76.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,45.1
72,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
70.2,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
70.8,48.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
71.3,48.5,48.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
73.7,48.5,48.5,48.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
72.8,48.5,48.5,48.5,48.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
74.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
74,48.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
71.9,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7,48.7
73,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7,48.7,48.7,48.7,48.7,48.7
73.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7,48.7,48.7,48.7,48.7
71.6,52.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7,48.7,48.7,48.7
71.6,52.2,52.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7,48.7,48.7
73.1,52.2,52.2,52.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7,48.7
72.4,52.2,52.2,52.2,52.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.7,48.7
74.1,52.2,52.2,52.2,52.2,52.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.7
74.5,52.2,52.2,52.2,52.2,52.2,52.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5,48.5
75.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5,48.5
73.1,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,48.5,48.5,48.5,48.5,48.5,48.5
71.6,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,52.2,48.5,48.5,48.5,48.5,48.5
